movieCd,movieNm,movieNmEn,watchGradeNm,openDt,showTm,genreNm,directors
20185353,기방도령,HOMME FATALE,"[{'auditNo': '2019-MF01115', 'watchGradeNm': '15세이상관람가'}]",20190710,110,"[{'genreNm': '코미디'}, {'genreNm': '사극'}]","[{'peopleNm': '남대중', 'peopleNmEn': 'NAM Dae-joong'}]"
20185986,진범,The Culprit,"[{'auditNo': '2019-MF00987', 'watchGradeNm': '15세이상관람가'}]",20190710,100,[{'genreNm': '스릴러'}],"[{'peopleNm': '고정욱', 'peopleNmEn': 'KO Jeong-wook'}]"
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,"[{'auditNo': '2019-MF01253', 'watchGradeNm': '전체관람가'}]",20190711,68,[{'genreNm': '애니메이션'}],"[{'peopleNm': '히라야마 미호', 'peopleNmEn': 'Miho Hirayama'}]"
20192151,미드소마,Midsommar,"[{'auditNo': '2019-MF01288', 'watchGradeNm': '청소년관람불가'}]",20190711,147,[{'genreNm': '공포(호러)'}],"[{'peopleNm': '아리 애스터', 'peopleNmEn': 'Ari Aster'}]"
20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,"[{'auditNo': '2019-MF01195', 'watchGradeNm': '12세이상관람가'}, {'auditNo': '2019-MF01230 ', 'watchGradeNm': '12세이상관람가'}]",20190702,129,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]","[{'peopleNm': '존 왓츠', 'peopleNmEn': 'Jon Watts'}]"
20192591,BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,[],,,[{'genreNm': '기타'}],[]
20199951,애나벨 집으로,Annabelle Comes Home,"[{'auditNo': '2019-MF01174', 'watchGradeNm': '15세이상관람가'}]",20190626,105,"[{'genreNm': '공포(호러)'}, {'genreNm': '미스터리'}, {'genreNm': '스릴러'}]","[{'peopleNm': '게리 도버먼', 'peopleNmEn': 'Gary Dauberman'}]"
20182585,비스트,The Beast,"[{'auditNo': '2019-MF01138', 'watchGradeNm': '15세이상관람가'}]",20190626,130,"[{'genreNm': '범죄'}, {'genreNm': '스릴러'}]","[{'peopleNm': '이정호', 'peopleNmEn': 'LEE Jeong-ho'}]"
20192022,마담 싸이코,Greta,"[{'auditNo': '2019-MF01056', 'watchGradeNm': '15세이상관람가'}]",20190626,98,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]","[{'peopleNm': '닐 조단', 'peopleNmEn': 'Neil Jordan'}]"
20184047,토이 스토리 4,Toy Story 4,"[{'auditNo': '2019-MF01049', 'watchGradeNm': '전체관람가'}, {'auditNo': '2019-MF01083 ', 'watchGradeNm': '전체관람가'}]",20190620,99,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]","[{'peopleNm': '조시 쿨리', 'peopleNmEn': 'Josh Cooley'}]"
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,"[{'auditNo': '2019-MF01030', 'watchGradeNm': '15세이상관람가'}]",20190619,117,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]","[{'peopleNm': '강윤성', 'peopleNmEn': 'KANG Yun-sung'}]"
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,"[{'auditNo': '2019-MF01103', 'watchGradeNm': '청소년관람불가'}]",20190626,131,"[{'genreNm': '액션'}, {'genreNm': '범죄'}, {'genreNm': '스릴러'}]","[{'peopleNm': '채드 스타헬스키', 'peopleNmEn': 'Chad Stahelski'}]"
20190885,사탄의 인형,Child's Play,"[{'auditNo': '2019-MF01139', 'watchGradeNm': '청소년관람불가'}]",20190620,90,[{'genreNm': '공포(호러)'}],"[{'peopleNm': '라스 클리브버그', 'peopleNmEn': 'Lars Klevberg'}]"
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,"[{'auditNo': '2019-MF01082', 'watchGradeNm': '12세이상관람가'}]",20190612,115,"[{'genreNm': '액션'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]","[{'peopleNm': 'F. 게리 그레이', 'peopleNmEn': 'F. Gary Gray'}]"
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,"[{'auditNo': '2019-MF00833', 'watchGradeNm': '전체관람가'}]",20190613,113,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}]","[{'peopleNm': '로버트 페르난데스', 'peopleNmEn': 'Robert Fernandez'}]"
20191401,업사이드,The Upside,"[{'auditNo': '2019-MF00767 ', 'watchGradeNm': '12세이상관람가'}]",20190613,125,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]","[{'peopleNm': '닐 버거', 'peopleNmEn': 'Neil Burger'}]"
20190466,세상을 바꾼 변호인,ON THE BASIS OF SEX,"[{'auditNo': '2019-MF00283', 'watchGradeNm': '12세이상관람가'}]",20190613,120,[{'genreNm': '드라마'}],"[{'peopleNm': '미미 레더', 'peopleNmEn': 'Mimi Leder'}]"
20182387,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,"[{'auditNo': '2019-MF00911', 'watchGradeNm': '12세이상관람가'}, {'auditNo': '2019-MF00934 ', 'watchGradeNm': '12세이상관람가'}]",20190605,113,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]","[{'peopleNm': '사이먼 킨버그', 'peopleNmEn': 'Simon Kinberg'}]"
19880001,이웃집 토토로,My Neighbor Totoro,"[{'auditNo': '2001-F192', 'watchGradeNm': '전체관람가'}]",20010728,87,"[{'genreNm': '애니메이션'}, {'genreNm': '드라마'}]","[{'peopleNm': '미야자키 하야오', 'peopleNmEn': 'Hayao Miyazaki'}]"
20198291,로켓맨,Rocketman,"[{'auditNo': '2019-MF00994', 'watchGradeNm': '15세이상관람가'}]",20190605,121,"[{'genreNm': '드라마'}, {'genreNm': '판타지'}]","[{'peopleNm': '덱스터 플레처', 'peopleNmEn': 'Dexter Fletcher'}]"
20199063,빅샤크2: 해저2만리,Happy Little Submarine : 20000 Leagues under the Sea,"[{'auditNo': '2019-MF00822', 'watchGradeNm': '전체관람가'}]",20190606,74,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}]","[{'peopleNm': '신우', 'peopleNmEn': 'Shen Yu'}]"
20183782,기생충,PARASITE,"[{'auditNo': '2019-MF00595', 'watchGradeNm': '15세이상관람가'}]",20190530,131,[{'genreNm': '드라마'}],"[{'peopleNm': '봉준호', 'peopleNmEn': 'BONG Joon-ho'}]"
20184865,고질라: 킹 오브 몬스터,Godzilla: King of the Monsters,"[{'auditNo': '2019-MF00598', 'watchGradeNm': '12세이상관람가'}, {'auditNo': '2019-MF00977 ', 'watchGradeNm': '12세이상관람가'}]",20190529,131,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]","[{'peopleNm': '마이클 도허티', 'peopleNmEn': 'Michael Dougherty'}]"
20188144,0.0MHz,0.0MHz,"[{'auditNo': '2019-MF00928', 'watchGradeNm': '15세이상관람가'}]",20190529,101,[{'genreNm': '공포(호러)'}],"[{'peopleNm': '유선동', 'peopleNmEn': 'YOU Sun-dong'}]"
20183867,알라딘,Aladdin,"[{'auditNo': '2019-MF00816', 'watchGradeNm': '전체관람가'}, {'auditNo': '2019-MF00865 ', 'watchGradeNm': '전체관람가'}]",20190523,127,"[{'genreNm': '어드벤처'}, {'genreNm': '가족'}, {'genreNm': '판타지'}]","[{'peopleNm': '가이 리치', 'peopleNmEn': 'Guy Ritchie'}]"
20199448,어린 의뢰인,My First Client,"[{'auditNo': '2019-MF00619', 'watchGradeNm': '12세이상관람가'}]",20190522,114,"[{'genreNm': '드라마'}, {'genreNm': '가족'}]","[{'peopleNm': '장규성', 'peopleNmEn': 'JANG Kyu-sung'}]"
20199822,더 보이,Brightburn,"[{'auditNo': '2019-MF00787', 'watchGradeNm': '15세이상관람가'}]",20190523,90,"[{'genreNm': '공포(호러)'}, {'genreNm': 'SF'}]","[{'peopleNm': '데이빗 야로베스키', 'peopleNmEn': 'David Yarovesky'}]"
20198597,교회오빠,A Job Who Is near Us,"[{'auditNo': '2019-MF00497', 'watchGradeNm': '전체관람가'}]",20190516,84,[{'genreNm': '다큐멘터리'}],"[{'peopleNm': '이호경', 'peopleNmEn': ''}]"
20197503,서스페리아,Suspiria,"[{'auditNo': '2019-MF00409', 'watchGradeNm': '청소년관람불가'}]",20190516,152,[{'genreNm': '공포(호러)'}],"[{'peopleNm': '루카 구아다니노', 'peopleNmEn': 'Luca Guadagnino'}]"
20184082,걸캅스,Miss & Mrs. Cops,"[{'auditNo': '2019-MF00620', 'watchGradeNm': '15세이상관람가'}]",20190509,107,"[{'genreNm': '코미디'}, {'genreNm': '액션'}]","[{'peopleNm': '정다원', 'peopleNmEn': 'JUNG Da-won'}]"
20185384,호텔 뭄바이,Hotel Mumbai,"[{'auditNo': '2019-MF00645', 'watchGradeNm': '15세이상관람가'}]",20190508,122,[{'genreNm': '스릴러'}],"[{'peopleNm': '앤소니 마라스', 'peopleNmEn': 'Anthony Maras'}]"
20188941,악인전,"The Gangster, The Cop, The Devil","[{'auditNo': '2019-MF00730', 'watchGradeNm': '청소년관람불가'}]",20190515,109,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]","[{'peopleNm': '이원태', 'peopleNmEn': 'LEE Won-tae'}]"
